noun,asset,model_id,arm,seed,phase,setup_ok,settle_ok,oracle_ok,actual_arm,target_z_rise,min_xy_separation,max_linear_speed,max_angular_speed,failure
shampoo bottle,049_shampoo,1,left,14000,grasp,True,True,True,left,0.1216273307800293,0.16761898843229509,0.0,0.0,
shampoo bottle,049_shampoo,2,left,14001,grasp,True,True,False,left,0.0,0.16941259514441823,0.0,0.0,check_success
shampoo bottle,049_shampoo,3,left,14002,grasp,True,True,True,left,0.11859405040740967,0.1976845904312084,0.0,0.0,
shampoo bottle,049_shampoo,4,left,14003,grasp,True,True,False,left,0.0,0.15666724049279818,0.0,0.0,check_success
shampoo bottle,049_shampoo,5,left,14004,grasp,True,True,False,left,0.029808104038238525,0.18625076739458357,0.0,0.0,check_success
shampoo bottle,049_shampoo,7,left,14005,grasp,True,True,True,left,0.11983627080917358,0.17175497196132702,0.0,0.0,
glue bottle,095_glue,0,left,14006,grasp,True,True,False,left,0.0,0.15836607595255345,0.0,0.0,check_success
glue bottle,095_glue,1,left,14007,grasp,True,True,True,left,0.11884325742721558,0.1929485511465865,0.0,0.0,
glue bottle,095_glue,2,left,14008,grasp,True,True,True,left,0.11880159378051758,0.1673500908578359,0.0,0.0,
glue bottle,095_glue,4,left,14009,grasp,True,True,False,left,0.0,0.15720278111233538,0.0,0.0,check_success
glue bottle,095_glue,5,left,14010,grasp,True,True,False,left,0.0,0.16225678428523846,0.0,0.0,check_success
glue bottle,095_glue,6,left,14011,grasp,True,True,True,left,0.11855822801589966,0.19666997223184074,0.0,0.0,
milk tea,101_milk-tea,0,left,14012,grasp,True,True,True,left,0.12243378162384033,0.18925750102054745,0.0,0.0,
milk tea,101_milk-tea,1,left,14013,grasp,True,True,False,left,-3.5762786865234375e-07,0.17900056307266585,0.0,0.0,check_success
milk tea,101_milk-tea,2,left,14014,grasp,True,True,False,left,0.050608277320861816,0.1728446050983316,0.0,0.0,check_success
milk tea,101_milk-tea,4,left,14015,grasp,True,True,False,left,0.0,0.18301130865219628,0.0,0.0,check_success
milk tea,101_milk-tea,6,left,14016,grasp,True,True,False,left,0.02742612361907959,0.23271880094424086,0.0,0.0,check_success
